,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,mean_importance
Car_dummy,1.1678210496902466,1.2472375631332397,1.017919659614563,1.040456771850586,0.9739806652069092,1.202600359916687,1.2005727291107178,1.1201952695846558,1.428573727607727,0.983271598815918,1.138262939453125
SavingMembership,1.1314923763275146,1.1516438722610474,1.178337574005127,1.22227144241333,1.062038779258728,1.2380813360214233,1.1578961610794067,1.1139276027679443,1.137683391571045,1.090906023979187,1.1484278559684753
ResidInfraSemi_dummy,1.1485302448272705,1.2285804748535156,1.1518927812576294,1.1666011810302734,1.0546298027038574,1.1496334075927734,1.2167237997055054,1.2170295715332031,1.0926085710525513,1.072320818901062,1.1498550653457642
TotalIncome,1.1850485801696777,1.1495317220687866,1.1854991912841797,1.1583077907562256,1.1373348236083984,1.1626558303833008,1.1123472452163696,1.1225790977478027,1.1747859716415405,1.1448184251785278,1.153290867805481
ResidenceOwn_dummy,1.140782117843628,1.5261354446411133,0.8397655487060547,1.0092110633850098,1.0771629810333252,1.6075886487960815,1.2459694147109985,1.0303950309753418,1.2029653787612915,0.9460674524307251,1.162604308128357
Dist_HealthCenter,1.1861677169799805,1.203689694404602,1.2154850959777832,1.1678968667984009,1.1620110273361206,1.2001315355300903,1.1465296745300293,1.2107740640640259,1.1846134662628174,1.1483945846557617,1.1825693726539612
HeardClimate_Dummy,1.1396371126174927,1.1531308889389038,1.1706491708755493,1.1551746129989624,1.1910532712936401,1.188745141029358,1.260035514831543,1.2012035846710205,1.206565022468567,1.2501447200775146,1.191633903980255
IncomeResAgri_dummy,1.1060606241226196,1.1816874742507935,1.1784915924072266,1.2928978204727173,1.2018755674362183,1.340021014213562,1.1787172555923462,1.1888197660446167,1.1135088205337524,1.2292894124984741,1.2011369347572327
Literal_Ratio,1.1895442008972168,1.2221177816390991,1.2797913551330566,1.1758606433868408,1.165874719619751,1.177817940711975,1.231685757637024,1.2209492921829224,1.2463735342025757,1.198981761932373,1.2108996987342835
TV_dummy,1.3269994258880615,1.2549092769622803,1.149105429649353,1.3074108362197876,1.1355109214782715,1.2401822805404663,1.201299786567688,1.1479716300964355,1.1871808767318726,1.1883878707885742,1.2138958334922791
Dist_Market,1.2415368556976318,1.268120288848877,1.2891600131988525,1.264343500137329,1.2654458284378052,1.2255159616470337,1.2188639640808105,1.2074744701385498,1.2429029941558838,1.2535980939865112,1.2476961970329286
ResidInfraKachchi_dummy,1.4714736938476562,1.2856699228286743,1.3462600708007812,1.2460458278656006,1.3101941347122192,1.2992690801620483,1.2678751945495605,1.167893409729004,1.284837245941162,1.3155319690704346,1.2995050549507141
FramMechan,1.370145559310913,1.2619714736938477,1.5691044330596924,1.279377818107605,1.2684956789016724,1.293267011642456,1.3094451427459717,1.3045830726623535,1.196191668510437,1.2905465364456177,1.3143128395080566
ClimateChanged_Dummy,1.3498107194900513,1.294859528541565,1.3166429996490479,1.3596866130828857,1.4127705097198486,1.5002641677856445,1.2715095281600952,1.3812166452407837,1.217179775238037,1.2412911653518677,1.3345231652259826
